safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,hand_made_ping
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.798866034,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.899638653,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.000675679,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.101271153,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.201976776,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.30129242,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.40123415,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.50123787,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.601224184,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.700111151,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.802031279,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.899369479,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.998780966,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358.098757983,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358.199047566,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358.300718308,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358.401233673,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358.501244068,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358.601221323,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358.702587128,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358.801757574,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358.901081801,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.001324416,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.101285935,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.200263024,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.29895401,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.399597168,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.499787331,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.598904848,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.700671196,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.801268578,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.901259661,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360.001742363,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360.101346493,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360.2012496,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360.301277161,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360.401223421,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360.502013684,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360.599575043,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360.698720932,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360.798485041,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360.898283244,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360.998235464,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,361.09816289,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,361.198400975,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,361.29808569,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,361.398005486,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,361.499490738,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,361.602197647,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,361.700853825,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,361.800312281,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,361.898365975,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.000313044,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.098605633,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.198265791,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.299140454,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.39843607,0.0
