safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,republished time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.899866104,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.999609232,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.099594593,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.200244904,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.300289392,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.401095629,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.500288725,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.600283146,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.700294256,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.800377607,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.901488543,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.000980377,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.10058856,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.199399233,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.300274849,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.399741411,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.499772072,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.600252867000002,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.701622248,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.801422596,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.90119338,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.000418901,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.101108313,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.200616837,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.301054001,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.400705814,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.500485182,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.599424601,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.699855804,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.799425125,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.899389744,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.001214027,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.100441694,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.200476408,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.302034855,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.400370598,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.503874302,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.601027966,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.700339794,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.800338984,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.899754047,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.999413729,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.099456549,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.19929266,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.299986839,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.400273085,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.502081394,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.600342989,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.707291841,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.800370216,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.900934696,-0.141676426
